날짜,품목명,가격
20040403.0,딸기,672
20040403.0,양파,1411
20040406.0,깐마늘(국산),6695
20040406.0,딸기,635
20040406.0,양파,1385
20040407.0,깐마늘(국산),6695
20040407.0,딸기,618
20040407.0,양파,1439
20040408.0,깐마늘(국산),6820
20040408.0,딸기,618
20040408.0,양파,1439
20040409.0,깐마늘(국산),6820
20040409.0,딸기,618
20040409.0,양파,1384
20040410.0,깐마늘(국산),6820
20040410.0,딸기,618
20040410.0,양파,1384
20040412.0,깐마늘(국산),7070
20040412.0,딸기,630
20040412.0,양파,1482
20040413.0,깐마늘(국산),7070
20040413.0,딸기,675
20040413.0,양파,1482
20040414.0,깐마늘(국산),7070
20040414.0,딸기,675
20040414.0,양파,1476
20040416.0,깐마늘(국산),7070
20040416.0,딸기,700
20040416.0,양파,1476
20040417.0,깐마늘(국산),6920
20040417.0,딸기,700
20040417.0,양파,1476
20040419.0,깐마늘(국산),6920
20040419.0,딸기,658
20040419.0,양파,1482
20040420.0,깐마늘(국산),6945
20040420.0,딸기,658
20040420.0,양파,1495
20040421.0,깐마늘(국산),6945
20040421.0,딸기,670
20040421.0,양파,1508
20040422.0,깐마늘(국산),7070
20040422.0,딸기,670
20040422.0,양파,1508
20040423.0,깐마늘(국산),7070
20040423.0,딸기,670
20040423.0,양파,1508
20040424.0,깐마늘(국산),7070
20040424.0,딸기,670
20040424.0,양파,1200
20040426.0,깐마늘(국산),7070
20040426.0,딸기,670
20040426.0,양파,1230
20040427.0,깐마늘(국산),7070
20040427.0,딸기,670
20040427.0,양파,1138
20040428.0,깐마늘(국산),7070
20040428.0,딸기,670
20040428.0,양파,1138
20040429.0,깐마늘(국산),7070
20040429.0,딸기,670
20040429.0,양파,1138
20040430.0,깐마늘(국산),7070
20040430.0,딸기,680
20040430.0,양파,1182
20040501.0,깐마늘(국산),7070
20040501.0,딸기,680
20040501.0,양파,1182
20040503.0,깐마늘(국산),7070
20040503.0,딸기,655
20040503.0,양파,1388
20040504.0,깐마늘(국산),7070
20040504.0,딸기,600
20040504.0,양파,1388
20040506.0,깐마늘(국산),7070
20040506.0,딸기,600
20040506.0,양파,1388
20040507.0,깐마늘(국산),7070
20040507.0,딸기,600
20040507.0,양파,1212
20040508.0,깐마늘(국산),7070
20040508.0,딸기,600
20040508.0,양파,1212
20040510.0,깐마늘(국산),7070
20040510.0,딸기,600
20040510.0,양파,1138
20040511.0,깐마늘(국산),7070
20040511.0,딸기,600
20040511.0,양파,1162
20040512.0,깐마늘(국산),7070
20040512.0,딸기,600
20040512.0,양파,1162
20040513.0,깐마늘(국산),7070
20040513.0,딸기,575
20040513.0,양파,1162
20040514.0,깐마늘(국산),7070
20040514.0,딸기,575
20040514.0,양파,1162
20040515.0,깐마늘(국산),7070
20040515.0,딸기,575
20040515.0,양파,1162
20040517.0,깐마늘(국산),7020
20040517.0,딸기,575
20040517.0,양파,1162
20040518.0,깐마늘(국산),7020
20040518.0,딸기,575
20040518.0,양파,1162
20040519.0,깐마늘(국산),7020
20040519.0,양파,1162
20040520.0,깐마늘(국산),7020
20040520.0,양파,1162
20040521.0,깐마늘(국산),7020
20040521.0,양파,1162
20040522.0,깐마늘(국산),7020
20040522.0,양파,1162
20040524.0,깐마늘(국산),7020
20040524.0,양파,1188
20040525.0,깐마늘(국산),7020
20040525.0,양파,1188
20040527.0,깐마늘(국산),7020
20040527.0,양파,1138
20040528.0,깐마늘(국산),6695
20040528.0,양파,1138
20040529.0,깐마늘(국산),6695
20040529.0,양파,1138
20040531.0,깐마늘(국산),6695
20040531.0,양파,1138
20040601.0,깐마늘(국산),6695
20040601.0,양파,1138
20040602.0,깐마늘(국산),6820
20040602.0,양파,1138
20040603.0,깐마늘(국산),6820
20040603.0,양파,1138
20040604.0,깐마늘(국산),6820
20040604.0,양파,1138
20040605.0,깐마늘(국산),6820
20040605.0,양파,1138
20040607.0,깐마늘(국산),6820
20040607.0,양파,1138
20040608.0,깐마늘(국산),6695
20040608.0,양파,1138
20040609.0,깐마늘(국산),6570
20040609.0,양파,1088
20040610.0,깐마늘(국산),6445
20040610.0,양파,1088
20040611.0,깐마늘(국산),6445
20040611.0,양파,1088
20040612.0,깐마늘(국산),6445
20040612.0,양파,1088
20040614.0,깐마늘(국산),6195
20040614.0,양파,1032
20040615.0,깐마늘(국산),6195
20040615.0,양파,1032
20040616.0,깐마늘(국산),6195
20040616.0,양파,1032
20040617.0,깐마늘(국산),6195
20040617.0,양파,1032
20040618.0,깐마늘(국산),6195
20040618.0,양파,1050
20040619.0,깐마늘(국산),6195
20040619.0,양파,1050
20040621.0,깐마늘(국산),6195
20040621.0,양파,1050
20040622.0,깐마늘(국산),6195
20040622.0,양파,1050
20040623.0,깐마늘(국산),6070
20040623.0,양파,1092
20040624.0,깐마늘(국산),6070
20040624.0,양파,1092
20040625.0,깐마늘(국산),6070
